SEI10,ID,AGE,INCOME16,EDUC,RACE,Black,White,Other,Male,Female,Urban,Fulltime,Parttime,NotWorking,Unemployed,KeepingHouse,Retired,AtSchool
87.9,1,47,26,17,1,0,1,0,1,0,0,1,0,0,0,0,0,0
38.3,2,61,19,13,1,0,1,0,1,0,0,1,0,0,0,0,0,0
52.1,3,72,21,17,1,0,1,0,1,0,0,0,0,0,0,0,1,0
21.8,4,43,26,13,1,0,1,0,0,1,0,0,1,0,0,0,0,0
39.7,5,55,26,19,1,0,1,0,0,1,0,0,1,0,0,0,0,0
44.6,6,53,20,15,1,0,1,0,0,1,0,0,0,0,0,1,0,0
80.7,7,50,26,15,1,0,1,0,1,0,0,1,0,0,0,0,0,0
20.1,8,23,16,12,3,0,0,1,0,1,1,0,1,0,0,0,0,0
20.1,9,45,20,13,2,1,0,0,1,0,1,1,0,0,0,0,0,0
32,10,71,20,15,1,0,1,0,1,0,1,0,0,0,0,0,1,0
24.2,11,33,1,13,2,1,0,0,0,1,1,0,0,0,0,1,0,0
13.2,12,86,1,13,1,0,1,0,0,1,1,0,0,0,0,0,1,0
20.8,13,32,8,13,2,1,0,0,1,0,1,0,1,0,0,0,0,0
67.7,15,76,18,11,1,0,1,0,1,0,0,0,0,1,0,0,0,0
61.4,16,33,19,14,1,0,1,0,0,1,0,1,0,0,0,0,0,0
23.3,17,56,19,14,1,0,1,0,1,0,0,0,0,1,0,0,0,0
25.7,18,62,5,11,3,0,0,1,0,1,0,0,0,0,0,1,0,0
80.9,19,31,17,19,2,1,0,0,1,0,0,1,0,0,0,0,0,0
39.2,20,43,15,14,2,1,0,0,1,0,0,1,0,0,0,0,0,0
24.2,21,58,22,13,1,0,1,0,0,1,0,1,0,0,0,0,0,0
33.3,22,32,18,12,2,1,0,0,0,1,1,0,0,1,0,0,0,0
21.6,23,23,14,11,3,0,0,1,0,1,1,0,1,0,0,0,0,0
66.2,24,37,20,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0
14.8,25,25,13,16,1,0,1,0,0,1,1,1,0,0,0,0,0,0
25.1,26,76,5,4,1,0,1,0,0,1,1,0,0,0,0,0,1,0
82.5,29,74,23,19,1,0,1,0,1,0,1,0,0,0,0,0,1,0
37.6,30,75,16,13,1,0,1,0,0,1,1,0,0,0,0,0,1,0
20.7,31,32,17,13,1,0,1,0,1,0,1,0,0,0,1,0,0,0
46.7,32,68,20,13,1,0,1,0,0,1,1,1,0,0,0,0,0,0
65.3,33,55,25,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
65.3,34,46,21,15,2,1,0,0,1,0,1,0,0,0,0,0,1,0
80.9,35,58,18,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0
52.5,36,35,22,13,1,0,1,0,1,0,1,1,0,0,0,0,0,0
26.1,37,59,21,17,1,0,1,0,1,0,1,0,1,0,0,0,0,0
80.9,38,43,23,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
83.8,39,58,23,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
38.3,40,79,16,15,1,0,1,0,0,1,1,0,0,0,0,0,1,0
39.7,41,40,18,13,1,0,1,0,0,1,1,1,0,0,0,0,0,0
21.8,42,44,17,13,3,0,0,1,0,1,1,0,1,0,0,0,0,0
35.8,43,68,22,17,3,0,0,1,0,1,1,0,1,0,0,0,0,0
82.7,44,36,16,21,1,0,1,0,0,1,1,1,0,0,0,0,0,0
24.2,45,70,10,18,1,0,1,0,1,0,1,0,0,0,0,0,1,0
83.4,46,28,21,16,1,0,1,0,1,0,1,1,0,0,0,0,0,0
86.8,48,33,19,17,3,0,0,1,1,0,1,1,0,0,0,0,0,0
91.1,50,47,23,17,1,0,1,0,0,1,1,1,0,0,0,0,0,0
43,51,25,24,17,3,0,0,1,0,1,1,1,0,0,0,0,0,0
24.6,52,70,21,13,1,0,1,0,0,1,1,0,0,0,0,0,1,0
91.1,54,41,26,20,1,0,1,0,1,0,1,1,0,0,0,0,0,0
20.1,56,42,25,17,1,0,1,0,0,1,1,0,1,0,0,0,0,0
41.1,57,40,21,18,1,0,1,0,0,1,1,1,0,0,0,0,0,0
39.7,58,57,20,18,1,0,1,0,0,1,1,1,0,0,0,0,0,0
84.5,59,59,8,21,1,0,1,0,0,1,1,1,0,0,0,0,0,0
21.6,60,35,10,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0
29.5,61,26,13,14,2,1,0,0,1,0,1,1,0,0,0,0,0,0
39.9,62,35,1,13,2,1,0,0,1,0,1,0,0,0,1,0,0,0
34.7,64,39,15,14,2,1,0,0,0,1,1,0,0,0,0,0,0,1
23.3,66,30,16,11,3,0,0,1,1,0,1,1,0,0,0,0,0,0
32.6,67,29,14,13,3,0,0,1,1,0,1,1,0,0,0,0,0,0
24.2,68,39,1,11,2,1,0,0,0,1,1,0,0,1,0,0,0,0
